input,output,instruction,text
Give me a list of containers that have the Ubuntu image as their ancestor.,docker ps --filter 'ancestor=ubuntu',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me a list of containers that have the Ubuntu image as their ancestor.

### Response:
docker ps --filter 'ancestor=ubuntu'</s>"
Fetch the containers that have exited with a status code of 1.,docker ps -a --filter 'status=exited' --filter 'exited=1',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Fetch the containers that have exited with a status code of 1.

### Response:
docker ps -a --filter 'status=exited' --filter 'exited=1'</s>"
"Provide a comprehensive list of nginx images, including their repository, tag, and ID.","docker images nginx --format ""{{.Repository}},{{.Tag}},{{.ID}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Provide a comprehensive list of nginx images, including their repository, tag, and ID.

### Response:
docker images nginx --format ""{{.Repository}},{{.Tag}},{{.ID}}""</s>"
"Give me a list of all containers, indicating their status as well. ",docker ps -a,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me a list of all containers, indicating their status as well. 

### Response:
docker ps -a</s>"
List all containers with Ubuntu as their ancestor.,docker ps --filter 'ancestor=ubuntu',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
List all containers with Ubuntu as their ancestor.

### Response:
docker ps --filter 'ancestor=ubuntu'</s>"
"""Dear Docker, in order to proceed, you must log in to the new registry on newregistry.example.org. Use your username, Mary Doe, to log in.""","""docker login newregistry.example.org --username=marydoe""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
""Dear Docker, in order to proceed, you must log in to the new registry on newregistry.example.org. Use your username, Mary Doe, to log in.""

### Response:
""docker login newregistry.example.org --username=marydoe""</s>"
"Docker, please show me the containers with exited status.",docker ps -a --filter 'status=exited',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Docker, please show me the containers with exited status.

### Response:
docker ps -a --filter 'status=exited'</s>"
Please stop all containers that are currently operational.,"""docker stop $(docker ps -q --filter status=running)""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please stop all containers that are currently operational.

### Response:
""docker stop $(docker ps -q --filter status=running)""</s>"
I want to see the running containers with the ACME label from the vendor ACME.,docker ps -a --filter 'label=com.example.vendor=ACME' --filter 'status=running',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
I want to see the running containers with the ACME label from the vendor ACME.

### Response:
docker ps -a --filter 'label=com.example.vendor=ACME' --filter 'status=running'</s>"
"Please show me a table of images, including the repository, tag, ID, and size.","docker images --format ""table {{.Repository}},{{.Tag}},{{.ID}},{{.Size}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please show me a table of images, including the repository, tag, ID, and size.

### Response:
docker images --format ""table {{.Repository}},{{.Tag}},{{.ID}},{{.Size}}""</s>"
"I want to see a list of all Docker images, including the dangling ones. Could you please provide their repository, tags, and IDs as well?","docker images -a --format ""{{.Repository}},{{.Tag}},{{.ID}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
I want to see a list of all Docker images, including the dangling ones. Could you please provide their repository, tags, and IDs as well?

### Response:
docker images -a --format ""{{.Repository}},{{.Tag}},{{.ID}}""</s>"
"Docker, display the running containers rooted from Debian.",docker ps --filter 'status=running' --filter 'ancestor=debian',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Docker, display the running containers rooted from Debian.

### Response:
docker ps --filter 'status=running' --filter 'ancestor=debian'</s>"
"Politely stop my_container by sending the SIGINT signal, Docker.","""docker kill -s SIGINT my_container""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Politely stop my_container by sending the SIGINT signal, Docker.

### Response:
""docker kill -s SIGINT my_container""</s>"
Present all the images without any truncation of their details.,docker images --no-trunc,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Present all the images without any truncation of their details.

### Response:
docker images --no-trunc</s>"
Retrieve the tasks that are running in Docker.,docker ps --filter 'is-task=true',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Retrieve the tasks that are running in Docker.

### Response:
docker ps --filter 'is-task=true'</s>"
"Please show me the containers with the name ""my-container"", please. ",docker ps --filter 'name=my-container',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please show me the containers with the name ""my-container"", please. 

### Response:
docker ps --filter 'name=my-container'</s>"
"I want to know the status of all containers, whether running or stopped. ",docker ps -a,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
I want to know the status of all containers, whether running or stopped. 

### Response:
docker ps -a</s>"
"Attach the container ""my_container"" to the ""my_network"" network.","""docker login --username=marydoe --password-stdin < ~/herpassword.txt""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Attach the container ""my_container"" to the ""my_network"" network.

### Response:
""docker login --username=marydoe --password-stdin < ~/herpassword.txt""</s>"
"Give me the Docker images that were built before the image ""nginx:latest"".",docker images -f before=nginx:latest,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me the Docker images that were built before the image ""nginx:latest"".

### Response:
docker images -f before=nginx:latest</s>"
I need you to list the repositories and tags of your images.,"docker images --format ""{{.Repository}},{{.Tag}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
I need you to list the repositories and tags of your images.

### Response:
docker images --format ""{{.Repository}},{{.Tag}}""</s>"
"Provide me with the repository, tag, and digest information of the images.","docker images --digests --format ""{{.Repository}},{{.Tag}},{{.Digest}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Provide me with the repository, tag, and digest information of the images.

### Response:
docker images --digests --format ""{{.Repository}},{{.Tag}},{{.Digest}}""</s>"
You should login to the new registry with your username and password.,"""docker login newregistry.example.org --username=marydoe --password=herpassword""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
You should login to the new registry with your username and password.

### Response:
""docker login newregistry.example.org --username=marydoe --password=herpassword""</s>"
Kindly provide your username and password from the specified file to login.,"""docker login --username=johndoe --password-stdin < ~/mypassword.txt""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Kindly provide your username and password from the specified file to login.

### Response:
""docker login --username=johndoe --password-stdin < ~/mypassword.txt""</s>"
Please display the containers with a healthy health status.,docker ps --filter 'health=healthy',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please display the containers with a healthy health status.

### Response:
docker ps --filter 'health=healthy'</s>"
Give me a list of all containers that exited before the container with ID 4f66ad9a0b2e.,docker ps -a --filter 'before=4f66ad9a0b2e' --filter 'status=exited',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me a list of all containers that exited before the container with ID 4f66ad9a0b2e.

### Response:
docker ps -a --filter 'before=4f66ad9a0b2e' --filter 'status=exited'</s>"
